date	time	comment	PM1	PM2.5	PM4	PM10	PMtot	Cn	rH	T	p	status flow	status coinc.	status pumps	status w.-statation	status IADS	status calib.	status LED	status op.-modus	modus	alt. PM#1	alt. PM#2	alt. PM#3	alt. PM#4	alt. PM#5	alt. PM#6	alt. PM#7	alt. PM#8	alt. PM#9	alt. PM#10	alt. PM#11	alt. PM#12	alt. PM#13	flowrate	velocity	coincidence	pump output	IADS T	channel deviation	LED T	aux. T	aux. h	aux. p	0.103730	0.111469	0.119786	0.128723	0.138327	0.148647	0.159737	0.171655	0.184462	0.198224	0.213013	0.228905	0.245984	0.264336	0.284057	0.305250	0.328024	0.352497	0.378797	0.407058	0.437427	0.470063	0.505133	0.542820	0.583319	0.626839	0.673606	0.723862	0.777868	0.835903	0.898268	0.965286	1.037304	1.114695	1.197860	1.287230	1.383267	1.486470	1.597372	1.716548	1.844616	1.982239	2.130130	2.289054	2.459835	2.643358	2.840573	3.052502	3.280243	3.524975	3.787966	4.070578	4.374274	4.700629	5.051333	5.428202	5.833189	6.268390	6.736061	7.238624	7.778682	8.359033	8.982682	9.652861	10.373039	11.146949	11.978599	12.872296	13.832670	14.864696	15.973718	17.165483	18.446161	19.822390	21.301296	22.890539	24.598352	26.433582	0.000000	0.000000	wind speed	wind direction	wind signal quality	prec. int.	prec. type	T_dew_point	
7/1/2026	12:00:00 AM		8.332125	11.428303	14.112692	21.162509	28.338954	327.146332	64.979396	25.400240	987.472534	0	0	0	0	0	0	0	0	1	8.332	11.428	14.113	21.163	28.339	3.350	5.767	8.637	21.891	49.191	21.822	8.945	37.366	4.80	10.15	0.37	42.29	34.90	1.97	35.76	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1203	12.5553	49.5223	60.7182	49.1063	40.4196	35.2356	31.1127	22.2659	8.4039	2.9463	1.4889	1.0259	0.4375	0.3522	0.4999	0.3184	0.2569	0.3739	0.2475	0.2707	0.2503	0.2265	0.2345	0.1491	0.2050	0.1094	0.0801	0.1419	0.0693	0.1064	0.0450	0.1375	0.0916	0.0318	0.0120	0.0387	0.0000	0.0760	0.0466	0.0041	0.0759	0.0253	0.0505	0.0252	0.0252	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.7582	285.4042	100.0000	0.0000	0.0000	17.6604	
7/1/2026	12:01:00 AM		8.286913	11.305411	13.949491	20.682024	27.173444	307.512054	64.116300	25.424164	987.472534	0	0	0	0	0	0	0	0	1	8.287	11.305	13.949	20.682	27.173	3.330	5.690	8.524	21.306	43.032	21.210	8.799	33.474	4.79	10.13	0.55	42.29	34.70	1.97	35.72	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1334	13.1453	47.3858	58.6911	48.5429	39.0302	33.8253	31.1288	21.1651	8.3601	2.7631	1.3654	0.8618	0.3745	0.5026	0.4820	0.5087	0.5481	0.3690	0.2028	0.1814	0.2296	0.2016	0.2851	0.1522	0.2355	0.1642	0.1851	0.0509	0.0897	0.0753	0.0573	0.0358	0.1424	0.1084	0.1132	0.0641	0.0507	0.0000	0.0719	0.0547	0.0253	0.0253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0248	0.0247	0.0000	0.0000	0.0165	0.0080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3297	285.1680	100.0000	0.0000	0.0000	17.4741	
7/1/2026	12:02:00 AM		8.239478	11.246355	13.863740	20.921997	27.689810	304.753387	64.116300	25.424164	987.472534	0	0	0	0	0	0	0	0	1	8.239	11.246	13.864	20.922	27.690	3.308	5.636	8.485	21.359	40.108	21.442	8.728	31.903	4.80	10.13	0.35	42.28	34.40	1.97	35.72	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2219	12.1277	47.7375	59.5998	49.0444	38.4114	32.7057	30.9509	20.4908	8.2168	2.8359	1.6010	0.8224	0.7054	0.4618	0.5225	0.4165	0.2209	0.4036	0.2248	0.1332	0.2241	0.1833	0.2153	0.2958	0.0896	0.1316	0.0842	0.1019	0.0321	0.0803	0.1981	0.1764	0.0217	0.0254	0.0254	0.0000	0.0254	0.0000	0.0000	0.0506	0.0000	0.0490	0.0520	0.0000	0.0000	0.0000	0.0251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0242	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3297	285.1680	100.0000	0.0000	0.0000	17.4741	
7/1/2026	12:03:00 AM		8.198340	11.199956	13.836647	21.117325	28.229583	310.270874	63.249961	25.444941	987.513733	0	0	0	0	0	0	0	0	1	8.198	11.200	13.837	21.117	28.230	3.288	5.582	8.483	21.328	39.203	21.586	8.711	31.485	4.80	10.12	0.59	42.29	34.20	1.97	35.69	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2094	12.7361	47.9629	61.9821	50.6564	37.7368	33.7100	31.0831	22.0322	8.4068	2.6462	1.3707	0.6904	0.6309	0.3551	0.2164	0.4997	0.4080	0.3127	0.2143	0.2906	0.2603	0.1392	0.2312	0.2050	0.2237	0.2007	0.1032	0.0328	0.0501	0.0378	0.0506	0.0934	0.0726	0.0762	0.0000	0.0508	0.0254	0.0348	0.0159	0.0337	0.1107	0.0579	0.0252	0.0000	0.0239	0.0013	0.0251	0.0000	0.0016	0.0484	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.5234	283.2894	100.0000	0.0000	0.0000	17.2541	
7/1/2026	12:04:00 AM		8.169850	11.160840	13.889611	20.820242	27.572563	303.677277	63.249961	25.444941	987.513733	0	0	0	0	0	0	0	0	1	8.170	11.161	13.890	20.820	27.573	3.274	5.544	8.551	20.926	37.457	21.055	8.751	30.216	4.81	10.12	0.70	42.28	33.90	1.97	35.69	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1134	12.7385	47.2607	59.6753	47.1695	38.2569	33.8766	28.3426	21.8289	7.7517	3.3657	1.3592	0.7295	0.5721	0.4762	0.4470	0.3334	0.2423	0.2357	0.2629	0.1658	0.1482	0.2998	0.2399	0.2242	0.1774	0.0598	0.1055	0.0934	0.2009	0.0998	0.0517	0.0545	0.0916	0.0193	0.0887	0.0163	0.0598	0.0253	0.0213	0.0631	0.0528	0.0147	0.0252	0.0252	0.0000	0.0000	0.0000	0.0000	0.0251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.5234	283.2894	100.0000	0.0000	0.0000	17.2541	
7/1/2026	12:05:00 AM		8.131916	11.120339	13.932853	20.382510	26.568886	309.048523	62.402701	25.462779	987.513733	0	0	0	0	0	0	0	0	1	8.132	11.120	13.933	20.383	26.569	3.257	5.538	8.616	20.423	34.695	20.319	8.782	28.230	4.80	10.12	0.35	42.29	33.80	1.97	35.66	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1645	12.8179	45.8904	59.9490	47.8898	39.0315	32.7436	30.8958	21.7553	8.5115	3.1389	1.3839	0.6851	0.4579	0.4952	0.6018	0.5048	0.2485	0.0762	0.1507	0.1120	0.2503	0.3253	0.0593	0.1746	0.1600	0.1377	0.1731	0.2685	0.1010	0.0123	0.0319	0.0613	0.1234	0.0254	0.1016	0.0508	0.0000	0.0507	0.0253	0.0506	0.0000	0.0000	0.0252	0.0013	0.0239	0.0000	0.0000	0.0000	0.0000	0.0250	0.0000	0.0000	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3503	282.5149	100.0000	0.0000	0.0000	17.0527	
7/1/2026	12:06:00 AM		8.095779	11.102659	13.954222	20.472933	26.752412	314.567810	62.402701	25.462779	987.513733	0	0	0	0	0	0	0	0	1	8.096	11.103	13.954	20.473	26.752	3.239	5.530	8.667	20.489	34.808	20.367	8.813	28.318	4.81	10.11	0.49	42.30	33.50	1.97	35.60	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1976	13.5029	46.2796	58.6475	46.4796	36.7273	33.4377	30.2129	21.6039	8.1067	2.9859	1.4951	0.9006	0.5424	0.4346	0.4711	0.3164	0.3308	0.2616	0.2030	0.2324	0.1589	0.2080	0.1630	0.2983	0.0953	0.2452	0.1680	0.1048	0.0873	0.1131	0.1789	0.0254	0.0190	0.0701	0.0887	0.0417	0.0598	0.0000	0.0253	0.0000	0.0000	0.0000	0.0000	0.0504	0.0252	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3503	282.5149	100.0000	0.0000	0.0000	17.0527	
7/1/2026	12:07:00 AM		8.077841	11.067075	13.939008	20.261795	26.349329	316.257935	61.577190	25.476419	987.513733	0	0	0	0	0	0	0	0	1	8.078	11.067	13.939	20.262	26.349	3.230	5.513	8.674	20.165	33.450	19.900	8.789	27.316	4.78	10.10	0.58	42.30	33.30	1.97	35.56	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2716	12.6062	47.0242	60.6246	48.4897	39.1424	33.9285	30.1659	20.2990	8.1848	3.1336	1.5572	0.4595	0.5022	0.3238	0.4769	0.4696	0.2839	0.4102	0.0898	0.1999	0.1673	0.0665	0.2337	0.1240	0.1791	0.2113	0.1055	0.1674	0.1015	0.2138	0.1090	0.1084	0.0190	0.0955	0.0887	0.0761	0.0235	0.0272	0.0000	0.0506	0.0253	0.0253	0.0000	0.0000	0.0239	0.0013	0.0000	0.0251	0.0250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.8860	282.1634	100.0000	0.0000	0.0000	16.8210	
7/1/2026	12:08:00 AM		8.051769	11.024117	13.922052	19.992293	25.772318	312.567719	61.577190	25.476419	987.513733	0	0	0	0	0	0	0	0	1	8.052	11.024	13.922	19.992	25.772	3.217	5.493	8.663	19.854	31.862	19.441	8.772	26.161	4.80	10.09	0.63	42.30	33.10	1.97	35.44	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2668	12.6453	47.7226	59.4290	47.5896	38.3156	34.2629	30.9561	20.9319	8.7747	3.1069	1.4247	1.0080	0.7836	0.4593	0.4375	0.5025	0.2694	0.3228	0.1992	0.2311	0.3126	0.1228	0.1321	0.1006	0.1282	0.0927	0.0842	0.1289	0.0815	0.0935	0.1596	0.1038	0.1577	0.0382	0.0762	0.0254	0.0507	0.0000	0.0253	0.0253	0.0000	0.0253	0.0252	0.0000	0.0239	0.0476	0.0241	0.0051	0.0000	0.0100	0.0367	0.0032	0.0000	0.0248	0.0000	0.0000	0.0224	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.8860	282.1634	100.0000	0.0000	0.0000	16.8210	
7/1/2026	12:09:00 AM		8.014584	10.977056	13.900615	19.970501	25.740550	302.908325	60.759120	25.488591	987.513733	0	0	0	0	0	0	0	0	1	8.015	10.977	13.901	19.971	25.741	3.198	5.448	8.648	19.845	31.735	19.415	8.769	26.069	4.80	10.11	0.41	42.29	33.00	1.97	35.40	-40.00	0.00	700.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2094	12.2796	45.0701	59.3363	45.4974	37.4460	33.2172	30.1634	20.3756	8.7828	2.7195	1.3815	0.8735	0.8130	0.4555	0.3802	0.3683	0.2652	0.2955	0.1251	0.2070	0.2651	0.1406	0.1597	0.2008	0.1399	0.0973	0.0801	0.1173	0.0807	0.1698	0.1409	0.0717	0.1387	0.0318	0.0628	0.0134	0.0489	0.0272	0.0253	0.0337	0.0349	0.0073	0.0252	0.0252	0.0000	0.0462	0.0241	0.0271	0.0030	0.0000	0.0217	0.0032	0.0000	0.0000	0.0000	0.0000	0.0224	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.8530	281.0812	100.0000	0.0000	0.0000	16.6094	
