Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330210304
Firmware Version,1.4
Calibration Date,2021/01/14
Protocol Name_Number,TEST_015
Test Start Time,06:40:45
Test Start Date,2026/07/10
Test Length [D:H:M:S],0:3:17:30
Sample Interval [H:M:S],0:0:5
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),7.705
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.600
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,
Number of Samples,2370
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
5,2469,648,281,130,66,67,23,29,17,8,10,3,4,2,2,2,0,0.025645,28.484,0.000,98.860,,,
10,2514,717,304,108,48,45,29,40,23,11,6,6,0,0,1,1,0,0.026540,28.558,0.000,98.841,,,
15,2489,714,291,111,57,57,21,22,18,8,2,4,5,1,1,0,1,0.026433,28.593,0.000,98.847,,,
20,2398,687,305,102,63,59,27,26,27,8,3,5,2,2,0,2,0,0.026023,28.625,0.000,98.847,,,
25,2492,757,283,100,65,55,30,21,22,10,6,2,1,1,2,1,0,0.026777,28.653,0.000,98.841,,,
30,2473,654,286,105,50,49,33,27,23,7,3,4,0,0,0,1,2,0.026008,28.677,0.000,98.841,,,
35,2318,639,288,107,59,57,20,23,19,7,4,3,1,1,0,2,0,0.025051,28.698,0.000,98.841,,,
40,2327,662,331,97,51,54,20,29,18,11,3,0,3,1,2,0,0,0.025549,28.723,0.000,98.841,,,
45,2484,707,296,104,62,73,29,41,21,13,4,6,1,0,2,1,2,0.027149,28.737,0.000,98.841,,,
50,2333,707,304,111,61,60,27,36,13,2,6,6,2,0,1,0,0,0.026411,28.765,0.000,98.847,,,
55,2472,704,314,125,59,61,22,30,16,11,2,2,3,0,1,0,0,0.027422,28.782,0.000,98.841,,,
60,2607,700,316,121,59,56,28,25,23,11,4,3,1,0,0,1,1,0.028171,28.796,0.000,98.841,,,
65,2633,725,309,122,66,62,27,32,16,10,9,7,2,3,0,0,0,0.028688,28.825,0.000,98.841,,,
70,2531,693,339,118,73,65,26,27,18,3,5,6,2,0,0,0,0,0.028002,28.842,0.000,98.841,,,
75,2575,704,299,111,73,47,24,40,26,10,5,1,2,0,0,1,0,0.027672,28.863,0.000,98.841,,,
80,2471,707,325,121,60,74,25,34,27,8,7,3,3,2,0,0,0,0.027871,28.888,0.000,98.847,,,
85,2415,675,294,118,60,54,25,22,17,13,5,4,3,2,0,0,0,0.026326,28.902,0.000,98.841,,,
90,2437,746,294,122,64,52,38,31,15,11,5,1,2,2,1,0,0,0.027418,28.930,0.000,98.841,,,
95,2431,689,269,105,59,42,32,28,16,14,3,2,2,2,1,0,1,0.026035,28.944,0.000,98.854,,,
100,2614,731,321,118,51,57,25,37,16,6,5,7,1,5,2,0,0,0.028032,28.975,0.000,98.841,,,
105,2569,705,291,117,45,66,29,34,24,7,7,5,5,2,2,0,0,0.027480,28.989,0.000,98.866,,,
110,2531,749,264,119,47,43,26,28,31,6,6,7,2,0,1,1,2,0.027187,29.000,0.000,98.854,,,
115,2546,705,277,118,49,61,29,25,16,9,8,4,4,1,0,1,0,0.027161,29.028,0.000,98.841,,,
120,2591,709,307,117,75,57,22,28,25,10,7,6,1,4,3,1,1,0.028107,29.049,0.000,98.847,,,
125,2323,634,261,81,54,46,20,32,20,15,9,1,1,1,0,2,0,0.024529,29.070,0.000,98.854,,,
130,2506,691,324,108,44,48,21,23,23,10,6,2,4,3,0,0,1,0.026670,29.088,0.000,98.854,,,
135,2467,686,278,96,52,59,31,29,24,7,8,6,6,0,1,0,1,0.026269,29.123,0.000,98.866,,,
140,2471,751,303,110,58,51,27,29,23,16,3,9,1,0,2,0,1,0.027105,29.133,0.000,98.841,,,
145,2459,705,264,88,43,52,24,35,25,3,6,5,6,4,0,0,0,0.025770,29.147,0.000,98.847,,,
150,2475,672,260,111,55,59,25,23,21,5,5,4,4,3,1,0,0,0.026073,29.175,0.000,98.847,,,
155,2500,695,265,111,49,63,24,37,18,9,5,7,1,1,1,0,2,0.026540,29.193,0.000,98.860,,,
160,2495,684,268,94,62,42,17,28,22,6,6,6,0,3,2,0,0,0.026013,29.214,0.000,98.841,,,
165,2449,679,303,99,60,57,22,28,25,8,8,3,2,4,1,2,1,0.026507,29.235,0.000,98.847,,,
170,2491,649,255,81,66,72,23,28,16,9,2,5,3,2,2,1,0,0.025711,29.246,0.000,98.854,,,
175,2303,673,258,107,50,40,19,22,33,7,8,2,2,0,3,2,0,0.024692,29.281,0.000,98.860,,,
180,2433,603,280,85,59,44,23,31,22,13,6,3,3,2,0,0,0,0.024976,29.295,0.000,98.854,,,
185,2402,642,288,103,60,60,32,37,19,17,5,3,3,1,1,3,0,0.025783,29.312,0.000,98.866,,,
190,2461,692,274,85,50,59,24,24,17,12,6,4,4,0,2,1,0,0.026003,29.337,0.000,98.860,,,
195,2375,655,273,93,61,56,27,30,20,9,6,7,7,3,2,1,0,0.025403,29.351,0.000,98.860,,,
200,2406,675,271,98,61,45,20,34,14,10,5,4,6,2,1,1,0,0.025355,29.379,0.000,98.872,,,
205,2404,688,287,104,46,48,27,24,19,11,1,5,2,2,1,2,1,0.025644,29.396,0.000,98.854,,,
210,2400,734,265,94,49,69,33,24,17,8,6,5,3,0,1,1,0,0.026055,29.411,0.000,98.866,,,
215,2194,592,280,73,50,51,25,20,19,8,5,8,2,2,0,2,0,0.023167,29.439,0.000,98.860,,,
220,2370,643,269,93,44,25,31,29,17,13,7,8,3,6,3,2,0,0.024785,29.449,0.000,98.872,,,
225,2218,624,264,93,71,46,29,31,19,7,7,6,3,0,1,2,0,0.023922,29.463,0.000,98.860,,,
230,2306,654,255,89,46,58,22,23,18,13,7,6,2,0,1,1,1,0.024291,29.491,0.000,98.866,,,
235,2387,659,277,109,44,55,21,31,13,6,5,2,3,1,0,0,2,0.024964,29.509,0.000,98.872,,,
240,2387,641,290,109,55,52,20,33,22,10,5,4,3,1,1,1,0,0.025201,29.530,0.000,98.866,,,
245,2417,640,264,109,53,47,29,26,20,10,2,5,3,1,1,0,0,0.024881,29.558,0.000,98.866,,,
250,2457,672,237,100,60,47,27,29,17,8,9,6,3,1,2,1,0,0.025547,29.579,0.000,98.866,,,
255,2427,693,263,90,57,54,30,29,18,11,3,2,3,0,0,0,0,0.025435,29.596,0.000,98.866,,,
260,2401,647,294,91,51,63,24,19,17,14,4,8,6,5,0,0,0,0.025233,29.625,0.000,98.872,,,
265,2389,685,258,96,55,40,19,33,16,10,7,6,1,0,2,1,1,0.025093,29.635,0.000,98.872,,,
270,2384,660,260,111,53,57,27,38,20,15,9,6,4,2,1,0,1,0.025425,29.656,0.000,98.872,,,
275,2407,660,277,100,56,55,29,21,37,10,7,7,1,2,0,2,0,0.025606,29.684,0.000,98.872,,,
280,2394,606,294,100,58,47,24,33,24,18,2,2,2,3,1,2,0,0.025093,29.702,0.000,98.866,,,
