UCASSNAME,bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
UCASS I,10,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,4095,1.00,1
UCASSNAME,bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
UCASS J,33,72,126,193,289,418,583,788,1040,1345,1691,2079,2483,2916,3398,4095,1.00,3
GPS_fix,GPS_satellites,GPS_PDOP,GPS_HDOP,GPS_VDOP,GPS_Date,GPS_Time[UTC],GPS_Time_dec[UTC],GPS_Longitude,GPS_Latitude,GPS_Altitude[m],temp,hum,UCASS_ID,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat,UCASS_ID.1,b0.1,b1.1,b2.1,b3.1,b4.1,b5.1,b6.1,b7.1,b8.1,b9.1,b10.1,b11.1,b12.1,b13.1,b14.1,b15.1,b1tof.1,b3tof.1,b5tof.1,b7tof.1,period.1,csum.1,glitch.1,longtof.1,rejrat.1,AP_Alt(m),AP_BaroAlt(m),AP_BaroTemp,AP_BaroPressure,AP_airSpeed(cm/s),AP_velX(m/s),AP_velY(m/s),AP_velZ(m/s),AP_SOG(m/s),AP_COG(deg),AP_heading(deg)
1,4,1.42,4.84,4.84,10/07/26,06:55:28,65528.0,333809650,351414350,177.1,54.22,73.56,1,0,146,4,0,1,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,19824,151,51,13,76,3,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,38596,33,22,12,20,0,0,0,0,0,0,0,0,0,0,0
1,4,1.42,4.84,4.84,10/07/26,06:55:29,65529.0,333809583,351414350,176.8,80.89,66.75,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,32375,5,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32375,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.42,4.85,4.85,10/07/26,06:55:30,65530.0,333809416,351414383,176.3,70.78,51.64,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,32381,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32381,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,4,1.42,4.85,4.85,10/07/26,06:55:31,65531.0,333809266,351414433,174.7,139.3,154.69,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,32378,5,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32378,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,4,1.42,4.85,4.85,10/07/26,06:55:32,65532.0,333809266,351414433,172.8,163.03,138.21,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,32381,2,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32382,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.42,4.85,4.85,10/07/26,06:55:33,65533.0,333809200,351414466,172.8,146.75,107.48,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,32380,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1.4,2.78,2.78,10/07/26,06:55:34,65534.0,333809216,351414483,172.1,111.79,72.95,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,32380,5,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32380,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1.4,2.78,2.78,10/07/26,06:55:35,65535.0,333809233,351414500,172.8,96.64,74.52,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,32378,8,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32378,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1.4,2.78,2.78,10/07/26,06:55:36,65536.0,333809300,351414483,174.0,91.4,85.56,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,193,221,0,0,32380,5,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32380,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5,1.4,2.78,2.78,10/07/26,06:55:37,65537.0,333809316,351414500,176.1,95.19,85.48,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,32382,3,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
