UCASSNAME,bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
UCASS I,10,15,22,33,50,74,111,166,247,369,551,823,1230,1836,2742,4095,1.00,6
UCASSNAME,bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
UCASS J,11,14,25,43,68,106,182,249,376,566,637,706,768,810,998,4095,1.00,2
GPS_fix,GPS_satellites,GPS_PDOP,GPS_HDOP,GPS_VDOP,GPS_Date,GPS_Time[UTC],GPS_Time_dec[UTC],GPS_Longitude,GPS_Latitude,GPS_Altitude[m],temp,hum,UCASS_ID,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat,UCASS_ID,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat,AP_Alt(m),AP_BaroAlt(m),AP_BaroTemp,AP_BaroPressure,AP_airSpeed(cm/s),AP_velX(m/s),AP_velY(m/s),AP_velZ(m/s),AP_SOG(m/s),AP_COG(deg),AP_heading(deg)
1,4,1.93,3.46,3.46,10/07/26,06:55:02,65502.00,333811433,351413000,198.80,70.38,62.64,6,1,12,12,5,1,0,0,0,0,0,0,0,0,0,0,0,255,255,6,0,57256,31,13,3,16,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,12884,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:03,65503.00,333811416,351412933,200.80,140.19,136.88,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,32377,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:04,65504.00,333811100,351413166,200.20,82.98,89.75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32380,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32379,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:05,65505.00,333811116,351413166,200.00,41.33,207.74,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,32380,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:06,65506.00,333811183,351413133,201.10,79.44,57.32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32379,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:07,65507.00,333811216,351413083,204.20,94.30,214.11,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,32378,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:08,65508.00,333811316,351413033,202.70,268.77,205.44,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32382,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32381,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:09,65509.00,333811300,351413016,202.50,119.60,96.28,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,0,32378,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:10,65510.00,333811266,351413066,202.20,90.07,71.46,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32380,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.93,3.46,3.46,10/07/26,06:55:11,65511.00,333811250,351413066,202.10,59.94,60.47,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32379,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
