Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
N (337.5–360° and 0–22.5°),FIDAS 200,0.10373,0.0,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.111469,0.0,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.119786,0.0,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.128723,0.0,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.138327,0.0,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.148647,0.0,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.159737,2.4908762986017843,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.171655,157.41235357964456,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.184462,578.4319183948849,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.198224,706.4111254061943,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.213013,554.1984490649683,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.228905,437.6937493485581,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.245984,381.0350574958754,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.264336,349.92260149165475,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.284057,333.091653074635,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.30525,222.7851466619902,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.328024,61.146181688941496,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.352497,29.745409119381392,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.378797,15.042285132710372,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.407058,9.926088751271708,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.437427,8.72153163678048,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.470063,7.719795711574974,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.505133,7.095309786116414,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.54282,5.148110714023603,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.583319,3.9647987093660046,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.626839,2.981783438225798,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.673606,2.5310210728746108,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.723862,2.5018210178779245,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.777868,2.2907116051080028,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.835903,2.1570199172496287,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.898268,1.8880346557749181,19
N (337.5–360° and 0–22.5°),FIDAS 200,0.965286,1.7743835246118476,19
