Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
NE (22.5–67.5°),FIDAS 200,0.10373,0.0,862
NE (22.5–67.5°),FIDAS 200,0.111469,0.0,862
NE (22.5–67.5°),FIDAS 200,0.119786,0.0,862
NE (22.5–67.5°),FIDAS 200,0.128723,0.0,862
NE (22.5–67.5°),FIDAS 200,0.138327,0.0,862
NE (22.5–67.5°),FIDAS 200,0.148647,0.0,862
NE (22.5–67.5°),FIDAS 200,0.159737,6.415887106198587,862
NE (22.5–67.5°),FIDAS 200,0.171655,217.13655526025767,862
NE (22.5–67.5°),FIDAS 200,0.184462,798.7996696492764,862
NE (22.5–67.5°),FIDAS 200,0.198224,1056.9508933914572,862
NE (22.5–67.5°),FIDAS 200,0.213013,902.6584646585817,862
NE (22.5–67.5°),FIDAS 200,0.228905,814.4114897118402,862
NE (22.5–67.5°),FIDAS 200,0.245984,808.4410618768557,862
NE (22.5–67.5°),FIDAS 200,0.264336,840.3250205030723,862
NE (22.5–67.5°),FIDAS 200,0.284057,632.162788236884,862
NE (22.5–67.5°),FIDAS 200,0.30525,283.91544905438417,862
NE (22.5–67.5°),FIDAS 200,0.328024,124.13388460170317,862
NE (22.5–67.5°),FIDAS 200,0.352497,64.20285935173388,862
NE (22.5–67.5°),FIDAS 200,0.378797,34.04418280209918,862
NE (22.5–67.5°),FIDAS 200,0.407058,24.003441810534113,862
NE (22.5–67.5°),FIDAS 200,0.437427,19.30447615633096,862
NE (22.5–67.5°),FIDAS 200,0.470063,18.267406366930462,862
NE (22.5–67.5°),FIDAS 200,0.505133,15.309462444692931,862
NE (22.5–67.5°),FIDAS 200,0.54282,9.549823635215652,862
NE (22.5–67.5°),FIDAS 200,0.583319,6.789628194444211,862
NE (22.5–67.5°),FIDAS 200,0.626839,5.117563506649769,862
NE (22.5–67.5°),FIDAS 200,0.673606,4.492820290763899,862
NE (22.5–67.5°),FIDAS 200,0.723862,4.485448622618714,862
NE (22.5–67.5°),FIDAS 200,0.777868,3.899285522899922,862
NE (22.5–67.5°),FIDAS 200,0.835903,3.872549199167333,862
NE (22.5–67.5°),FIDAS 200,0.898268,3.4754144891256495,862
NE (22.5–67.5°),FIDAS 200,0.965286,3.371182699565199,862
NE (22.5–67.5°),FIDAS 200,1.037304,3.0099857131199075,862
