Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
SE (112.5–157.5°),FIDAS 200,0.10373,0.0,823
SE (112.5–157.5°),FIDAS 200,0.111469,0.0,823
SE (112.5–157.5°),FIDAS 200,0.119786,0.0,823
SE (112.5–157.5°),FIDAS 200,0.128723,0.0,823
SE (112.5–157.5°),FIDAS 200,0.138327,0.0,823
SE (112.5–157.5°),FIDAS 200,0.148647,0.0,823
SE (112.5–157.5°),FIDAS 200,0.159737,6.098749834781623,823
SE (112.5–157.5°),FIDAS 200,0.171655,216.4663298997275,823
SE (112.5–157.5°),FIDAS 200,0.184462,809.5865145245922,823
SE (112.5–157.5°),FIDAS 200,0.198224,1092.9771489827215,823
SE (112.5–157.5°),FIDAS 200,0.213013,950.3806612395399,823
SE (112.5–157.5°),FIDAS 200,0.228905,881.7598573748179,823
SE (112.5–157.5°),FIDAS 200,0.245984,894.2311001709273,823
SE (112.5–157.5°),FIDAS 200,0.264336,966.2830495223614,823
SE (112.5–157.5°),FIDAS 200,0.284057,703.0943223396206,823
SE (112.5–157.5°),FIDAS 200,0.30525,294.11184500336446,823
SE (112.5–157.5°),FIDAS 200,0.328024,145.5204217725239,823
SE (112.5–157.5°),FIDAS 200,0.352497,75.9016933627926,823
SE (112.5–157.5°),FIDAS 200,0.378797,41.348567290504285,823
SE (112.5–157.5°),FIDAS 200,0.407058,30.05915452895387,823
SE (112.5–157.5°),FIDAS 200,0.437427,24.35572095510488,823
SE (112.5–157.5°),FIDAS 200,0.470063,23.351768585079594,823
SE (112.5–157.5°),FIDAS 200,0.505133,19.859151932760067,823
SE (112.5–157.5°),FIDAS 200,0.54282,11.70441199278396,823
SE (112.5–157.5°),FIDAS 200,0.583319,8.14464363991174,823
SE (112.5–157.5°),FIDAS 200,0.626839,6.04411306992505,823
SE (112.5–157.5°),FIDAS 200,0.673606,5.249607235393558,823
SE (112.5–157.5°),FIDAS 200,0.723862,5.269695591511102,823
SE (112.5–157.5°),FIDAS 200,0.777868,4.787462850426318,823
SE (112.5–157.5°),FIDAS 200,0.835903,4.593583718644952,823
SE (112.5–157.5°),FIDAS 200,0.898268,4.037866736883792,823
SE (112.5–157.5°),FIDAS 200,0.965286,3.860113509905888,823
SE (112.5–157.5°),FIDAS 200,1.037304,3.5249096730699985,823
SE (112.5–157.5°),FIDAS 200,1.114695,3.425815196822037,823
SE (112.5–157.5°),FIDAS 200,1.19786,3.0856725707247232,823
SE (112.5–157.5°),FIDAS 200,1.28723,2.926582764196999,823
SE (112.5–157.5°),FIDAS 200,1.383267,2.704852917253644,823
SE (112.5–157.5°),FIDAS 200,1.48647,2.362442393214041,823
SE (112.5–157.5°),FIDAS 200,1.597372,2.130866696997429,823
SE (112.5–157.5°),FIDAS 200,1.716548,1.681675255381399,823
SE (112.5–157.5°),FIDAS 200,1.844616,1.362160173563727,823
SE (112.5–157.5°),FIDAS 200,1.982239,1.1705817841409496,823
SE (112.5–157.5°),FIDAS 200,2.13013,1.0143165146458726,823
SE (112.5–157.5°),FIDAS 200,2.289054,0.8564959795320991,823
SE (112.5–157.5°),FIDAS 200,2.459835,0.7994083023271805,823
SE (112.5–157.5°),FIDAS 200,2.643358,0.6910623668345437,823
SE (112.5–157.5°),FIDAS 200,2.840573,0.6205527722485272,823
SE (112.5–157.5°),FIDAS 200,3.052502,0.5627755968806968,823
SE (112.5–157.5°),FIDAS 200,3.280243,0.5222897180189244,823
SE (112.5–157.5°),FIDAS 200,3.524975,0.43935151989323784,823
SE (112.5–157.5°),FIDAS 200,3.787966,0.39733967117255636,823
SE (112.5–157.5°),FIDAS 200,4.070578,0.3071832323693433,823
SE (112.5–157.5°),FIDAS 200,4.374274,0.2702207651076765,823
SE (112.5–157.5°),FIDAS 200,4.700629,0.23678095944746871,823
SE (112.5–157.5°),FIDAS 200,5.051333,0.22090813295383424,823
SE (112.5–157.5°),FIDAS 200,5.428202,0.1820395259477651,823
SE (112.5–157.5°),FIDAS 200,5.833189,0.15130216182294878,823
SE (112.5–157.5°),FIDAS 200,6.26839,0.129843235576165,823
SE (112.5–157.5°),FIDAS 200,6.736061,0.11820602731058279,823
SE (112.5–157.5°),FIDAS 200,7.238624,0.10657604522103492,823
SE (112.5–157.5°),FIDAS 200,7.778682,0.07886074972230821,823
SE (112.5–157.5°),FIDAS 200,8.359033,0.07375494148295403,823
SE (112.5–157.5°),FIDAS 200,8.982682,0.0592590639041748,823
SE (112.5–157.5°),FIDAS 200,9.652861,0.059420164208451864,823
SE (112.5–157.5°),FIDAS 200,10.373039,0.04682221271513446,823
SE (112.5–157.5°),FIDAS 200,11.146949,0.041917029882308776,823
SE (112.5–157.5°),FIDAS 200,11.978599,0.04108004144661945,823
SE (112.5–157.5°),FIDAS 200,12.872296,0.031357091734071356,823
SE (112.5–157.5°),FIDAS 200,13.83267,0.024835475688682045,823
SE (112.5–157.5°),FIDAS 200,14.864696,0.021883621738750646,823
SE (112.5–157.5°),FIDAS 200,15.973718,0.019841707339119177,823
SE (112.5–157.5°),FIDAS 200,17.165483,0.016866498036593413,823
SE (112.5–157.5°),FIDAS 200,18.446161,0.014078193612781757,823
SE (112.5–157.5°),FIDAS 200,19.82239,0.014934545803122158,823
SE (112.5–157.5°),FIDAS 200,21.301296,0.016078040912397205,823
SE (112.5–157.5°),FIDAS 200,22.890539,0.017224904569925228,823
