Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
SW (202.5–247.5°),FIDAS 200,0.10373,0.0,1404
SW (202.5–247.5°),FIDAS 200,0.111469,0.0,1404
SW (202.5–247.5°),FIDAS 200,0.119786,0.0,1404
SW (202.5–247.5°),FIDAS 200,0.128723,0.0,1404
SW (202.5–247.5°),FIDAS 200,0.138327,0.0,1404
SW (202.5–247.5°),FIDAS 200,0.148647,0.0,1404
SW (202.5–247.5°),FIDAS 200,0.159737,16.233450963682746,1404
SW (202.5–247.5°),FIDAS 200,0.171655,277.5868297430342,1404
SW (202.5–247.5°),FIDAS 200,0.184462,829.2255082864535,1404
SW (202.5–247.5°),FIDAS 200,0.198224,1070.2589040862167,1404
SW (202.5–247.5°),FIDAS 200,0.213013,898.3276023071203,1404
SW (202.5–247.5°),FIDAS 200,0.228905,794.6729886105804,1404
SW (202.5–247.5°),FIDAS 200,0.245984,757.6754488994985,1404
SW (202.5–247.5°),FIDAS 200,0.264336,727.6262752641118,1404
SW (202.5–247.5°),FIDAS 200,0.284057,547.1869926984594,1404
SW (202.5–247.5°),FIDAS 200,0.30525,217.07644444286547,1404
SW (202.5–247.5°),FIDAS 200,0.328024,92.49673433568029,1404
SW (202.5–247.5°),FIDAS 200,0.352497,46.83787967896568,1404
SW (202.5–247.5°),FIDAS 200,0.378797,24.721468593624333,1404
SW (202.5–247.5°),FIDAS 200,0.407058,17.462581781938987,1404
SW (202.5–247.5°),FIDAS 200,0.437427,14.00446816386558,1404
SW (202.5–247.5°),FIDAS 200,0.470063,12.913305081945637,1404
SW (202.5–247.5°),FIDAS 200,0.505133,11.483902296860835,1404
SW (202.5–247.5°),FIDAS 200,0.54282,7.454940466129977,1404
SW (202.5–247.5°),FIDAS 200,0.583319,5.685075442724963,1404
SW (202.5–247.5°),FIDAS 200,0.626839,4.454278177663087,1404
SW (202.5–247.5°),FIDAS 200,0.673606,4.035971002819258,1404
SW (202.5–247.5°),FIDAS 200,0.723862,4.161415910467029,1404
SW (202.5–247.5°),FIDAS 200,0.777868,3.7856565962102224,1404
SW (202.5–247.5°),FIDAS 200,0.835903,3.726836836267461,1404
SW (202.5–247.5°),FIDAS 200,0.898268,3.371324934204383,1404
SW (202.5–247.5°),FIDAS 200,0.965286,3.204259304963348,1404
SW (202.5–247.5°),FIDAS 200,1.037304,2.8524913192842503,1404
SW (202.5–247.5°),FIDAS 200,1.114695,2.76114440510836,1404
SW (202.5–247.5°),FIDAS 200,1.19786,2.513811662718494,1404
SW (202.5–247.5°),FIDAS 200,1.28723,2.3339628169040747,1404
SW (202.5–247.5°),FIDAS 200,1.383267,2.1958168151428588,1404
SW (202.5–247.5°),FIDAS 200,1.48647,1.8676387134011083,1404
SW (202.5–247.5°),FIDAS 200,1.597372,1.716300175100654,1404
SW (202.5–247.5°),FIDAS 200,1.716548,1.4232570203573018,1404
SW (202.5–247.5°),FIDAS 200,1.844616,1.1874109782250148,1404
SW (202.5–247.5°),FIDAS 200,1.982239,1.0166547264166668,1404
SW (202.5–247.5°),FIDAS 200,2.13013,0.9216477542820387,1404
SW (202.5–247.5°),FIDAS 200,2.289054,0.7815916201011304,1404
SW (202.5–247.5°),FIDAS 200,2.459835,0.7430852100556841,1404
SW (202.5–247.5°),FIDAS 200,2.643358,0.6590554641351918,1404
SW (202.5–247.5°),FIDAS 200,2.840573,0.5863316195213807,1404
SW (202.5–247.5°),FIDAS 200,3.052502,0.5367429194160012,1404
SW (202.5–247.5°),FIDAS 200,3.280243,0.4853608787554949,1404
SW (202.5–247.5°),FIDAS 200,3.524975,0.45977216399257176,1404
SW (202.5–247.5°),FIDAS 200,3.787966,0.3909832657337975,1404
SW (202.5–247.5°),FIDAS 200,4.070578,0.32516274384835875,1404
SW (202.5–247.5°),FIDAS 200,4.374274,0.3054350453947582,1404
SW (202.5–247.5°),FIDAS 200,4.700629,0.2601727371013598,1404
SW (202.5–247.5°),FIDAS 200,5.051333,0.21576145987033818,1404
SW (202.5–247.5°),FIDAS 200,5.428202,0.1943785199373839,1404
SW (202.5–247.5°),FIDAS 200,5.833189,0.17787327669065706,1404
SW (202.5–247.5°),FIDAS 200,6.26839,0.155621885677935,1404
SW (202.5–247.5°),FIDAS 200,6.736061,0.125052826875788,1404
SW (202.5–247.5°),FIDAS 200,7.238624,0.110478451166032,1404
SW (202.5–247.5°),FIDAS 200,7.778682,0.10693935810327698,1404
SW (202.5–247.5°),FIDAS 200,8.359033,0.09275633522007658,1404
SW (202.5–247.5°),FIDAS 200,8.982682,0.08399563671387887,1404
SW (202.5–247.5°),FIDAS 200,9.652861,0.074507350544828,1404
SW (202.5–247.5°),FIDAS 200,10.373039,0.05516169104418793,1404
SW (202.5–247.5°),FIDAS 200,11.146949,0.04834702556015233,1404
SW (202.5–247.5°),FIDAS 200,11.978599,0.04210612301714993,1404
SW (202.5–247.5°),FIDAS 200,12.872296,0.03661586959625802,1404
SW (202.5–247.5°),FIDAS 200,13.83267,0.03015335624421235,1404
SW (202.5–247.5°),FIDAS 200,14.864696,0.024858159665983908,1404
SW (202.5–247.5°),FIDAS 200,15.973718,0.021859866844451143,1404
SW (202.5–247.5°),FIDAS 200,17.165483,0.017775627720142483,1404
SW (202.5–247.5°),FIDAS 200,18.446161,0.017554241615442164,1404
SW (202.5–247.5°),FIDAS 200,19.82239,0.01872235997706786,1404
SW (202.5–247.5°),FIDAS 200,21.301296,0.020141985346918148,1404
SW (202.5–247.5°),FIDAS 200,22.890539,0.021587359322277348,1404
SW (202.5–247.5°),FIDAS 200,24.598352,0.023372301515232057,1404
SW (202.5–247.5°),FIDAS 200,26.433582,0.006775364067961184,1404
SW (202.5–247.5°),UCASS 1,0.7765307463326871,4.855430708363879,311
SW (202.5–247.5°),UCASS 1,1.7052272575818157,0.6250752810337781,311
SW (202.5–247.5°),UCASS 1,2.4781242906682466,0.07753090882640733,311
SW (202.5–247.5°),UCASS 1,3.1246599815019875,0.1120891673697173,311
SW (202.5–247.5°),UCASS 1,3.668105778191245,0.07124416816477153,311
SW (202.5–247.5°),UCASS 1,4.161249812255929,0.0,311
SW (202.5–247.5°),UCASS 1,4.678589531044587,0.0,311
SW (202.5–247.5°),UCASS 1,5.145298825141257,0.0,311
SW (202.5–247.5°),UCASS 1,5.604863959098383,0.0,311
SW (202.5–247.5°),UCASS 1,6.061188002363893,0.0,311
SW (202.5–247.5°),UCASS 1,6.520398760812102,0.0,311
SW (202.5–247.5°),UCASS 1,6.971986804347811,0.0,311
SW (202.5–247.5°),UCASS 1,7.420956811624765,0.0,311
SW (202.5–247.5°),UCASS 1,7.891793205602894,0.0,311
SW (202.5–247.5°),UCASS 1,10.85080642164443,0.0,311
SW (202.5–247.5°),UCASS 2,4.069004792329446,0.17995387815527958,311
SW (202.5–247.5°),UCASS 2,4.496398558846847,0.3856051984960149,311
SW (202.5–247.5°),UCASS 2,5.417970099585268,0.29924354537507497,311
SW (202.5–247.5°),UCASS 2,6.685506712284417,0.04227684761853247,311
SW (202.5–247.5°),UCASS 2,8.268978171455045,0.06794792666502406,311
SW (202.5–247.5°),UCASS 2,10.772854774849607,0.0,311
SW (202.5–247.5°),UCASS 2,13.835259303677686,0.07811120688269287,311
SW (202.5–247.5°),UCASS 2,17.414821273846023,0.0,311
SW (202.5–247.5°),UCASS 2,23.11955881932006,0.0,311
SW (202.5–247.5°),UCASS 2,28.16814512885078,0.0,311
SW (202.5–247.5°),UCASS 2,30.822173836379548,0.0,311
SW (202.5–247.5°),UCASS 2,33.4058677480469,0.0,311
SW (202.5–247.5°),UCASS 2,35.530071770262445,0.0,311
SW (202.5–247.5°),UCASS 2,40.3981039159018,0.0,311
SW (202.5–247.5°),UCASS 2,48.99905305207439,0.0,311
SW (202.5–247.5°),UCASS 6,0.6280127387243033,2.4749266099451743,311
SW (202.5–247.5°),UCASS 6,0.7557777451076474,3.195295628768159,311
SW (202.5–247.5°),UCASS 6,1.1299557513460428,0.6795127027297122,311
SW (202.5–247.5°),UCASS 6,1.7951044537853502,0.4085336206507324,311
SW (202.5–247.5°),UCASS 6,2.23678340480253,0.6299396797844857,311
SW (202.5–247.5°),UCASS 6,2.579767431378263,0.4651571006264678,311
SW (202.5–247.5°),UCASS 6,3.316323265304515,0.2147034385402779,311
SW (202.5–247.5°),UCASS 6,4.263097465458654,0.0,311
SW (202.5–247.5°),UCASS 6,5.296527164095356,0.03694464989311325,311
SW (202.5–247.5°),UCASS 6,6.755116579304905,0.07376839262886013,311
SW (202.5–247.5°),UCASS 6,8.618816624107977,0.0,311
SW (202.5–247.5°),UCASS 6,11.067971810589329,0.0,311
SW (202.5–247.5°),UCASS 6,14.265342617687105,0.0,311
SW (202.5–247.5°),UCASS 6,18.743596239782804,0.0,311
SW (202.5–247.5°),UCASS 6,25.325038993059813,0.0,311
SW (202.5–247.5°),TSI OPS 3330,0.3349626844888845,103.76271092592087,80
SW (202.5–247.5°),TSI OPS 3330,0.417025179095939,23.464836499427406,80
SW (202.5–247.5°),TSI OPS 3330,0.5188785985179963,7.723168175368444,80
SW (202.5–247.5°),TSI OPS 3330,0.6461106716345119,2.6339256749873363,80
SW (202.5–247.5°),TSI OPS 3330,0.8041996020889342,1.4613404541257649,80
SW (202.5–247.5°),TSI OPS 3330,1.0009740256370292,1.540908271870615,80
SW (202.5–247.5°),TSI OPS 3330,1.246493882857032,0.8293408137816869,80
SW (202.5–247.5°),TSI OPS 3330,1.5521636511656882,1.0322791214977403,80
SW (202.5–247.5°),TSI OPS 3330,1.9324057544936053,0.7133354529242188,80
SW (202.5–247.5°),TSI OPS 3330,2.4060049875260026,0.3744562097687005,80
SW (202.5–247.5°),TSI OPS 3330,2.9959898197423835,0.2162671950641814,80
SW (202.5–247.5°),TSI OPS 3330,3.73008927507104,0.17100147013633715,80
SW (202.5–247.5°),TSI OPS 3330,4.644080533324115,0.12769627479940476,80
SW (202.5–247.5°),TSI OPS 3330,5.781788823538958,0.1016779620987235,80
SW (202.5–247.5°),TSI OPS 3330,7.198224225460054,0.056295423529253895,80
SW (202.5–247.5°),TSI OPS 3330,8.962142600963231,0.05012737722044279,80
