Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
0–2 m/s,FIDAS 200,0.10373,0.0,6333
0–2 m/s,FIDAS 200,0.111469,0.0,6333
0–2 m/s,FIDAS 200,0.119786,0.0,6333
0–2 m/s,FIDAS 200,0.128723,0.0,6333
0–2 m/s,FIDAS 200,0.138327,0.0,6333
0–2 m/s,FIDAS 200,0.148647,0.0,6333
0–2 m/s,FIDAS 200,0.159737,11.931639400557653,6333
0–2 m/s,FIDAS 200,0.171655,252.77000137360255,6333
0–2 m/s,FIDAS 200,0.184462,821.0444403090471,6333
0–2 m/s,FIDAS 200,0.198224,1075.8557429458483,6333
0–2 m/s,FIDAS 200,0.213013,913.7039691554959,6333
0–2 m/s,FIDAS 200,0.228905,820.2428486923443,6333
0–2 m/s,FIDAS 200,0.245984,799.4003257987206,6333
0–2 m/s,FIDAS 200,0.264336,785.0843057267111,6333
0–2 m/s,FIDAS 200,0.284057,583.0010519014869,6333
0–2 m/s,FIDAS 200,0.30525,242.79801156673597,6333
0–2 m/s,FIDAS 200,0.328024,108.10297242412706,6333
0–2 m/s,FIDAS 200,0.352497,55.881299883176744,6333
0–2 m/s,FIDAS 200,0.378797,30.281689738319496,6333
0–2 m/s,FIDAS 200,0.407058,21.7703228511028,6333
0–2 m/s,FIDAS 200,0.437427,17.509546638035655,6333
0–2 m/s,FIDAS 200,0.470063,16.40326332003788,6333
0–2 m/s,FIDAS 200,0.505133,14.47488765561803,6333
0–2 m/s,FIDAS 200,0.54282,9.054630082817958,6333
0–2 m/s,FIDAS 200,0.583319,6.651381860025581,6333
0–2 m/s,FIDAS 200,0.626839,5.049593069850232,6333
0–2 m/s,FIDAS 200,0.673606,4.490234919505947,6333
0–2 m/s,FIDAS 200,0.723862,4.562857676004401,6333
0–2 m/s,FIDAS 200,0.777868,4.070217615289713,6333
0–2 m/s,FIDAS 200,0.835903,4.001841224618961,6333
0–2 m/s,FIDAS 200,0.898268,3.5974548904504537,6333
0–2 m/s,FIDAS 200,0.965286,3.3912917615315594,6333
0–2 m/s,FIDAS 200,1.037304,3.0794797345126055,6333
0–2 m/s,FIDAS 200,1.114695,2.9600669508447557,6333
0–2 m/s,FIDAS 200,1.19786,2.6780997736251746,6333
0–2 m/s,FIDAS 200,1.28723,2.5306827867080086,6333
0–2 m/s,FIDAS 200,1.383267,2.340069505923902,6333
0–2 m/s,FIDAS 200,1.48647,2.014901177323354,6333
0–2 m/s,FIDAS 200,1.597372,1.8137438462411686,6333
0–2 m/s,FIDAS 200,1.716548,1.4832014919129513,6333
0–2 m/s,FIDAS 200,1.844616,1.2383162542796855,6333
0–2 m/s,FIDAS 200,1.982239,1.0420350521439075,6333
0–2 m/s,FIDAS 200,2.13013,0.9198808805181489,6333
0–2 m/s,FIDAS 200,2.289054,0.7891515747439481,6333
0–2 m/s,FIDAS 200,2.459835,0.7294535400808484,6333
0–2 m/s,FIDAS 200,2.643358,0.6486410123680237,6333
0–2 m/s,FIDAS 200,2.840573,0.5788261556800809,6333
0–2 m/s,FIDAS 200,3.052502,0.5455510577101814,6333
0–2 m/s,FIDAS 200,3.280243,0.4867822429556171,6333
0–2 m/s,FIDAS 200,3.524975,0.427758064788427,6333
0–2 m/s,FIDAS 200,3.787966,0.3718857523551491,6333
0–2 m/s,FIDAS 200,4.070578,0.31079190099515325,6333
0–2 m/s,FIDAS 200,4.374274,0.2819406274646429,6333
0–2 m/s,FIDAS 200,4.700629,0.24010677690172091,6333
0–2 m/s,FIDAS 200,5.051333,0.20626332662197475,6333
0–2 m/s,FIDAS 200,5.428202,0.17109121504518146,6333
0–2 m/s,FIDAS 200,5.833189,0.151749901414397,6333
0–2 m/s,FIDAS 200,6.26839,0.13392257698555143,6333
0–2 m/s,FIDAS 200,6.736061,0.10995760149528495,6333
0–2 m/s,FIDAS 200,7.238624,0.10236982311586822,6333
0–2 m/s,FIDAS 200,7.778682,0.08851446377940303,6333
0–2 m/s,FIDAS 200,8.359033,0.07775648288071399,6333
0–2 m/s,FIDAS 200,8.982682,0.06534553812528643,6333
0–2 m/s,FIDAS 200,9.652861,0.057838462003068164,6333
0–2 m/s,FIDAS 200,10.373039,0.048656252300520925,6333
0–2 m/s,FIDAS 200,11.146949,0.04162475721695037,6333
0–2 m/s,FIDAS 200,11.978599,0.037240202309162924,6333
0–2 m/s,FIDAS 200,12.872296,0.03152571851235295,6333
0–2 m/s,FIDAS 200,13.83267,0.025784737884876355,6333
0–2 m/s,FIDAS 200,14.864696,0.021310771773812708,6333
0–2 m/s,FIDAS 200,15.973718,0.019095944972668782,6333
0–2 m/s,FIDAS 200,17.165483,0.015491088337927065,6333
0–2 m/s,FIDAS 200,18.446161,0.013861418576531274,6333
0–2 m/s,FIDAS 200,19.82239,0.014746482834045086,6333
0–2 m/s,FIDAS 200,21.301296,0.015871870170073143,6333
0–2 m/s,FIDAS 200,22.890539,0.01700647242436537,6333
0–2 m/s,FIDAS 200,24.598352,0.01843799751553173,6333
0–2 m/s,FIDAS 200,26.433582,0.005330855576353624,6333
0–2 m/s,UCASS 1,0.7765307463326871,4.424574922228525,6548
0–2 m/s,UCASS 1,1.7052272575818157,0.48303140421455126,6548
0–2 m/s,UCASS 1,2.4781242906682466,0.18460072962632776,6548
0–2 m/s,UCASS 1,3.1246599815019875,0.08225869957438792,6548
0–2 m/s,UCASS 1,3.668105778191245,0.05809316083906337,6548
0–2 m/s,UCASS 1,4.161249812255929,0.05252902794513862,6548
0–2 m/s,UCASS 1,4.678589531044587,0.030826058501912845,6548
0–2 m/s,UCASS 1,5.145298825141257,0.030835698148010963,6548
0–2 m/s,UCASS 1,5.604863959098383,0.029958977043987523,6548
0–2 m/s,UCASS 1,6.061188002363893,0.004013640611004965,6548
0–2 m/s,UCASS 1,6.520398760812102,0.008754314306460158,6548
0–2 m/s,UCASS 1,6.971986804347811,0.004696771706113744,6548
