Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
> 4 m/s,FIDAS 200,0.10373,0.0,3072
> 4 m/s,FIDAS 200,0.111469,0.0,3072
> 4 m/s,FIDAS 200,0.119786,0.0,3072
> 4 m/s,FIDAS 200,0.128723,0.0,3072
> 4 m/s,FIDAS 200,0.138327,0.0,3072
> 4 m/s,FIDAS 200,0.148647,0.0,3072
> 4 m/s,FIDAS 200,0.159737,101.72722248671315,3072
> 4 m/s,FIDAS 200,0.171655,781.5494591247573,3072
> 4 m/s,FIDAS 200,0.184462,1005.6326506409661,3072
> 4 m/s,FIDAS 200,0.198224,1148.0117985601028,3072
> 4 m/s,FIDAS 200,0.213013,915.6860436638598,3072
> 4 m/s,FIDAS 200,0.228905,772.0447179532504,3072
> 4 m/s,FIDAS 200,0.245984,683.2432657648231,3072
> 4 m/s,FIDAS 200,0.264336,625.0933449862775,3072
> 4 m/s,FIDAS 200,0.284057,412.8862798974884,3072
> 4 m/s,FIDAS 200,0.30525,160.12566235113198,3072
> 4 m/s,FIDAS 200,0.328024,66.14781836708482,3072
> 4 m/s,FIDAS 200,0.352497,32.6744120392297,3072
> 4 m/s,FIDAS 200,0.378797,17.582898212872905,3072
> 4 m/s,FIDAS 200,0.407058,12.412876104001885,3072
> 4 m/s,FIDAS 200,0.437427,10.045526499608581,3072
> 4 m/s,FIDAS 200,0.470063,9.715738399582913,3072
> 4 m/s,FIDAS 200,0.505133,8.124310404573816,3072
> 4 m/s,FIDAS 200,0.54282,5.704722152442767,3072
> 4 m/s,FIDAS 200,0.583319,4.479022582782417,3072
> 4 m/s,FIDAS 200,0.626839,3.6672911948948523,3072
> 4 m/s,FIDAS 200,0.673606,3.494400316831645,3072
> 4 m/s,FIDAS 200,0.723862,3.5670416181740365,3072
> 4 m/s,FIDAS 200,0.777868,3.0699823427714366,3072
> 4 m/s,FIDAS 200,0.835903,3.1805628496340774,3072
> 4 m/s,FIDAS 200,0.898268,2.65906142862901,3072
> 4 m/s,FIDAS 200,0.965286,2.704292513889113,3072
> 4 m/s,FIDAS 200,1.037304,2.307656133088307,3072
> 4 m/s,FIDAS 200,1.114695,2.253803001712859,3072
> 4 m/s,FIDAS 200,1.19786,2.057627096809839,3072
> 4 m/s,FIDAS 200,1.28723,1.9368262263575682,3072
> 4 m/s,FIDAS 200,1.383267,1.7852496712796697,3072
> 4 m/s,FIDAS 200,1.48647,1.5764974247811188,3072
> 4 m/s,FIDAS 200,1.597372,1.417207019062415,3072
> 4 m/s,FIDAS 200,1.716548,1.195457100203754,3072
> 4 m/s,FIDAS 200,1.844616,1.009385034894072,3072
> 4 m/s,FIDAS 200,1.982239,0.8664181058219839,3072
> 4 m/s,FIDAS 200,2.13013,0.7597514637044779,3072
> 4 m/s,FIDAS 200,2.289054,0.6613973834395604,3072
> 4 m/s,FIDAS 200,2.459835,0.6049612040428345,3072
> 4 m/s,FIDAS 200,2.643358,0.5482735699535626,3072
> 4 m/s,FIDAS 200,2.840573,0.48227887870915487,3072
> 4 m/s,FIDAS 200,3.052502,0.46194317000334867,3072
> 4 m/s,FIDAS 200,3.280243,0.4211755424732643,3072
> 4 m/s,FIDAS 200,3.524975,0.36438264151483324,3072
> 4 m/s,FIDAS 200,3.787966,0.3253832252014772,3072
> 4 m/s,FIDAS 200,4.070578,0.27089862292943184,3072
> 4 m/s,FIDAS 200,4.374274,0.24722046484309532,3072
> 4 m/s,FIDAS 200,4.700629,0.2166877678166253,3072
> 4 m/s,FIDAS 200,5.051333,0.18627524517553987,3072
> 4 m/s,FIDAS 200,5.428202,0.16115185895037804,3072
> 4 m/s,FIDAS 200,5.833189,0.13922256916525824,3072
> 4 m/s,FIDAS 200,6.26839,0.1249230297196052,3072
> 4 m/s,FIDAS 200,6.736061,0.11123765655204607,3072
> 4 m/s,FIDAS 200,7.238624,0.10228600473550752,3072
> 4 m/s,FIDAS 200,7.778682,0.08824126761151088,3072
> 4 m/s,FIDAS 200,8.359033,0.08065015948640404,3072
> 4 m/s,FIDAS 200,8.982682,0.06720964105731973,3072
> 4 m/s,FIDAS 200,9.652861,0.06347355000068053,3072
> 4 m/s,FIDAS 200,10.373039,0.0507344878818084,3072
> 4 m/s,FIDAS 200,11.146949,0.03739614714215533,3072
> 4 m/s,FIDAS 200,11.978599,0.03510696786127102,3072
> 4 m/s,FIDAS 200,12.872296,0.030514464508521712,3072
> 4 m/s,FIDAS 200,13.83267,0.028141998801779543,3072
> 4 m/s,FIDAS 200,14.864696,0.021738119391502816,3072
> 4 m/s,FIDAS 200,15.973718,0.02065134821616407,3072
> 4 m/s,FIDAS 200,17.165483,0.014848543053382585,3072
> 4 m/s,FIDAS 200,18.446161,0.014145807020127724,3072
> 4 m/s,FIDAS 200,19.82239,0.015049706662704401,3072
> 4 m/s,FIDAS 200,21.301296,0.016198405299468668,3072
> 4 m/s,FIDAS 200,22.890539,0.017357961669809425,3072
> 4 m/s,FIDAS 200,24.598352,0.01881611523489086,3072
> 4 m/s,FIDAS 200,26.433582,0.005442136678050022,3072
> 4 m/s,UCASS 1,0.7765307463326871,1.1156649038046116,247
> 4 m/s,UCASS 1,1.7052272575818157,0.19644532334711823,247
> 4 m/s,UCASS 1,2.4781242906682466,0.030903219828987617,247
> 4 m/s,UCASS 1,3.1246599815019875,0.033508405538915244,247
> 4 m/s,UCASS 1,3.668105778191245,0.0,247
> 4 m/s,UCASS 1,4.161249812255929,0.0,247
> 4 m/s,UCASS 1,4.678589531044587,0.03767134934515919,247
> 4 m/s,UCASS 1,5.145298825141257,0.0,247
> 4 m/s,UCASS 1,5.604863959098383,0.0,247
> 4 m/s,UCASS 1,6.061188002363893,0.0,247
> 4 m/s,UCASS 1,6.520398760812102,0.0,247
> 4 m/s,UCASS 1,6.971986804347811,0.0,247
> 4 m/s,UCASS 1,7.420956811624765,0.0,247
> 4 m/s,UCASS 1,7.891793205602894,0.0,247
> 4 m/s,UCASS 1,10.85080642164443,0.005624790509933039,247
> 4 m/s,UCASS 2,4.069004792329446,0.12552438885096995,247
> 4 m/s,UCASS 2,4.496398558846847,0.14409304298000786,247
> 4 m/s,UCASS 2,5.417970099585268,0.059638079864619165,247
> 4 m/s,UCASS 2,6.685506712284417,0.04212806013139127,247
> 4 m/s,UCASS 2,8.268978171455045,0.027083517353764915,247
> 4 m/s,UCASS 2,10.772854774849607,0.028634516689249923,247
> 4 m/s,UCASS 2,13.835259303677686,0.0,247
> 4 m/s,UCASS 2,17.414821273846023,0.0,247
> 4 m/s,UCASS 2,23.11955881932006,0.0,247
> 4 m/s,UCASS 2,28.16814512885078,0.0,247
> 4 m/s,UCASS 2,30.822173836379548,0.0,247
> 4 m/s,UCASS 2,33.4058677480469,0.0,247
> 4 m/s,UCASS 2,35.530071770262445,0.0,247
> 4 m/s,UCASS 2,40.3981039159018,0.0,247
> 4 m/s,UCASS 2,48.99905305207439,0.0,247
> 4 m/s,UCASS 6,0.6280127387243033,0.4255432305620431,247
> 4 m/s,UCASS 6,0.7557777451076474,0.8238451644230578,247
> 4 m/s,UCASS 6,1.1299557513460428,0.14316277904713476,247
> 4 m/s,UCASS 6,1.7951044537853502,0.1791221710846483,247
> 4 m/s,UCASS 6,2.23678340480253,0.32641580122657965,247
> 4 m/s,UCASS 6,2.579767431378263,0.12835939704505714,247
> 4 m/s,UCASS 6,3.316323265304515,0.04992115791602069,247
> 4 m/s,UCASS 6,4.263097465458654,0.04125729601337433,247
> 4 m/s,UCASS 6,5.296527164095356,0.0,247
> 4 m/s,UCASS 6,6.755116579304905,0.007350877502754961,247
> 4 m/s,UCASS 6,8.618816624107977,0.007161007961297269,247
> 4 m/s,UCASS 6,11.067971810589329,0.0,247
> 4 m/s,UCASS 6,14.265342617687105,0.0,247
> 4 m/s,UCASS 6,18.743596239782804,0.0,247
> 4 m/s,UCASS 6,25.325038993059813,0.0,247
> 4 m/s,TSI OPS 3330,0.3349626844888845,99.32393275980796,57
> 4 m/s,TSI OPS 3330,0.417025179095939,21.062448705637173,57
> 4 m/s,TSI OPS 3330,0.5188785985179963,6.701740994529738,57
> 4 m/s,TSI OPS 3330,0.6461106716345119,2.3846521653448893,57
> 4 m/s,TSI OPS 3330,0.8041996020889342,1.3921526565914986,57
> 4 m/s,TSI OPS 3330,1.0009740256370292,1.4199487993804458,57
> 4 m/s,TSI OPS 3330,1.246493882857032,0.7835104126195516,57
> 4 m/s,TSI OPS 3330,1.5521636511656882,0.9842690588908015,57
> 4 m/s,TSI OPS 3330,1.9324057544936053,0.7135785802999836,57
> 4 m/s,TSI OPS 3330,2.4060049875260026,0.38974185466177735,57
> 4 m/s,TSI OPS 3330,2.9959898197423835,0.2543300347321529,57
> 4 m/s,TSI OPS 3330,3.73008927507104,0.16670945436607243,57
> 4 m/s,TSI OPS 3330,4.644080533324115,0.1406474198537915,57
> 4 m/s,TSI OPS 3330,5.781788823538958,0.08772434617716911,57
> 4 m/s,TSI OPS 3330,7.198224225460054,0.054909529703972455,57
> 4 m/s,TSI OPS 3330,8.962142600963231,0.059738930225674364,57
