Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
< 4 m/s,FIDAS 200,0.10373,0.0,10509
< 4 m/s,FIDAS 200,0.111469,0.0,10509
< 4 m/s,FIDAS 200,0.119786,0.0,10509
< 4 m/s,FIDAS 200,0.128723,0.0,10509
< 4 m/s,FIDAS 200,0.138327,0.0,10509
< 4 m/s,FIDAS 200,0.148647,0.0,10509
< 4 m/s,FIDAS 200,0.159737,25.126191852848596,10509
< 4 m/s,FIDAS 200,0.171655,328.99404870368926,10509
< 4 m/s,FIDAS 200,0.184462,846.1397368308392,10509
< 4 m/s,FIDAS 200,0.198224,1081.6312807837473,10509
< 4 m/s,FIDAS 200,0.213013,907.9339468103799,10509
< 4 m/s,FIDAS 200,0.228905,806.2015753425886,10509
< 4 m/s,FIDAS 200,0.245984,773.3107846131458,10509
< 4 m/s,FIDAS 200,0.264336,744.6465716413992,10509
< 4 m/s,FIDAS 200,0.284057,528.4680775625302,10509
< 4 m/s,FIDAS 200,0.30525,217.8261188974638,10509
< 4 m/s,FIDAS 200,0.328024,95.43150659193483,10509
< 4 m/s,FIDAS 200,0.352497,48.68613834111816,10509
< 4 m/s,FIDAS 200,0.378797,26.487170037034925,10509
< 4 m/s,FIDAS 200,0.407058,19.068618097007807,10509
< 4 m/s,FIDAS 200,0.437427,15.389418678309356,10509
< 4 m/s,FIDAS 200,0.470063,14.420156040180492,10509
< 4 m/s,FIDAS 200,0.505133,12.384473487916452,10509
< 4 m/s,FIDAS 200,0.54282,7.966008332443469,10509
< 4 m/s,FIDAS 200,0.583319,5.92750196632859,10509
< 4 m/s,FIDAS 200,0.626839,4.626962465008829,10509
< 4 m/s,FIDAS 200,0.673606,4.213098294481944,10509
< 4 m/s,FIDAS 200,0.723862,4.266354255415638,10509
< 4 m/s,FIDAS 200,0.777868,3.7915778706451806,10509
< 4 m/s,FIDAS 200,0.835903,3.7697918143463345,10509
< 4 m/s,FIDAS 200,0.898268,3.308049228048792,10509
< 4 m/s,FIDAS 200,0.965286,3.2088693328133218,10509
< 4 m/s,FIDAS 200,1.037304,2.853514631477976,10509
< 4 m/s,FIDAS 200,1.114695,2.7610034126386758,10509
< 4 m/s,FIDAS 200,1.19786,2.5032578031499786,10509
< 4 m/s,FIDAS 200,1.28723,2.3441931365238116,10509
< 4 m/s,FIDAS 200,1.383267,2.1695003788523817,10509
< 4 m/s,FIDAS 200,1.48647,1.8682856643935022,10509
< 4 m/s,FIDAS 200,1.597372,1.687473973538534,10509
< 4 m/s,FIDAS 200,1.716548,1.3840312553214436,10509
< 4 m/s,FIDAS 200,1.844616,1.163265120311003,10509
< 4 m/s,FIDAS 200,1.982239,0.9776720686333791,10509
< 4 m/s,FIDAS 200,2.13013,0.8635494457422064,10509
< 4 m/s,FIDAS 200,2.289054,0.7405718794767864,10509
< 4 m/s,FIDAS 200,2.459835,0.6834370602383162,10509
< 4 m/s,FIDAS 200,2.643358,0.6048558217249607,10509
< 4 m/s,FIDAS 200,2.840573,0.5432538852198646,10509
< 4 m/s,FIDAS 200,3.052502,0.5073706139914403,10509
< 4 m/s,FIDAS 200,3.280243,0.45374312157997637,10509
< 4 m/s,FIDAS 200,3.524975,0.40084247115141997,10509
< 4 m/s,FIDAS 200,3.787966,0.3479889677471819,10509
< 4 m/s,FIDAS 200,4.070578,0.2885629123770013,10509
< 4 m/s,FIDAS 200,4.374274,0.260092510513002,10509
< 4 m/s,FIDAS 200,4.700629,0.22370951586860052,10509
< 4 m/s,FIDAS 200,5.051333,0.19196431253728652,10509
< 4 m/s,FIDAS 200,5.428202,0.161359611560587,10509
< 4 m/s,FIDAS 200,5.833189,0.1398729216229151,10509
< 4 m/s,FIDAS 200,6.26839,0.12585483831540656,10509
< 4 m/s,FIDAS 200,6.736061,0.10357174845530658,10509
< 4 m/s,FIDAS 200,7.238624,0.09419597219468802,10509
< 4 m/s,FIDAS 200,7.778682,0.08261340862075693,10509
< 4 m/s,FIDAS 200,8.359033,0.07240421089445247,10509
< 4 m/s,FIDAS 200,8.982682,0.060950718407441866,10509
< 4 m/s,FIDAS 200,9.652861,0.054684751392790866,10509
< 4 m/s,FIDAS 200,10.373039,0.046098190994708875,10509
< 4 m/s,FIDAS 200,11.146949,0.037704757674719154,10509
< 4 m/s,FIDAS 200,11.978599,0.03334716365817238,10509
< 4 m/s,FIDAS 200,12.872296,0.027806436232942062,10509
< 4 m/s,FIDAS 200,13.83267,0.023415036144106487,10509
< 4 m/s,FIDAS 200,14.864696,0.020696329492557022,10509
< 4 m/s,FIDAS 200,15.973718,0.017718780309016257,10509
< 4 m/s,FIDAS 200,17.165483,0.014640612910152093,10509
< 4 m/s,FIDAS 200,18.446161,0.012846407481467446,10509
< 4 m/s,FIDAS 200,19.82239,0.013660893340897698,10509
< 4 m/s,FIDAS 200,21.301296,0.014703528959632348,10509
< 4 m/s,FIDAS 200,22.890539,0.015754757573935612,10509
< 4 m/s,FIDAS 200,24.598352,0.017084630215108032,10509
< 4 m/s,FIDAS 200,26.433582,0.004937011206219211,10509
< 4 m/s,UCASS 1,0.7765307463326871,2.9746199470993124,9347
< 4 m/s,UCASS 1,1.7052272575818157,0.3383606913663324,9347
< 4 m/s,UCASS 1,2.4781242906682466,0.13550582723174104,9347
< 4 m/s,UCASS 1,3.1246599815019875,0.06873878953031556,9347
< 4 m/s,UCASS 1,3.668105778191245,0.04369055454384352,9347
< 4 m/s,UCASS 1,4.161249812255929,0.04115197482343104,9347
< 4 m/s,UCASS 1,4.678589531044587,0.02318358255768905,9347
< 4 m/s,UCASS 1,5.145298825141257,0.01771521913169832,9347
< 4 m/s,UCASS 1,5.604863959098383,0.022883524393009835,9347
< 4 m/s,UCASS 1,6.061188002363893,0.0037732105961727587,9347
< 4 m/s,UCASS 1,6.520398760812102,0.00617242698800544,9347
< 4 m/s,UCASS 1,6.971986804347811,0.00441541993588595,9347
< 4 m/s,UCASS 1,7.420956811624765,0.011198681591210407,9347
< 4 m/s,UCASS 1,7.891793205602894,0.0030288919230552717,9347
< 4 m/s,UCASS 1,10.85080642164443,0.003894289615356778,9347
< 4 m/s,UCASS 2,4.069004792329446,0.26209761040366675,9347
< 4 m/s,UCASS 2,4.496398558846847,0.2069136634949024,9347
< 4 m/s,UCASS 2,5.417970099585268,0.11600541538477582,9347
< 4 m/s,UCASS 2,6.685506712284417,0.05120447686722913,9347
< 4 m/s,UCASS 2,8.268978171455045,0.034377033304923664,9347
< 4 m/s,UCASS 2,10.772854774849607,0.024781167580104648,9347
< 4 m/s,UCASS 2,13.835259303677686,0.00838281021062181,9347
< 4 m/s,UCASS 2,17.414821273846023,0.003889879900294818,9347
< 4 m/s,UCASS 2,23.11955881932006,0.004185397469382711,9347
< 4 m/s,UCASS 2,28.16814512885078,0.0,9347
< 4 m/s,UCASS 2,30.822173836379548,0.0,9347
< 4 m/s,UCASS 2,33.4058677480469,0.0,9347
< 4 m/s,UCASS 2,35.530071770262445,0.001073010687833293,9347
< 4 m/s,UCASS 2,40.3981039159018,0.0014276197715293924,9347
< 4 m/s,UCASS 2,48.99905305207439,0.0007138098857646962,9347
< 4 m/s,UCASS 6,0.6280127387243033,1.3243122519884525,9347
< 4 m/s,UCASS 6,0.7557777451076474,1.7635663015473,9347
< 4 m/s,UCASS 6,1.1299557513460428,0.3571815578526845,9347
< 4 m/s,UCASS 6,1.7951044537853502,0.4177648366705905,9347
< 4 m/s,UCASS 6,2.23678340480253,0.5282804478041757,9347
< 4 m/s,UCASS 6,2.579767431378263,0.17499483525256718,9347
< 4 m/s,UCASS 6,3.316323265304515,0.10862534914078606,9347
< 4 m/s,UCASS 6,4.263097465458654,0.06601512971091841,9347
< 4 m/s,UCASS 6,5.296527164095356,0.02832042753178665,9347
< 4 m/s,UCASS 6,6.755116579304905,0.019226378488710304,9347
< 4 m/s,UCASS 6,8.618816624107977,0.012119263337269533,9347
< 4 m/s,UCASS 6,11.067971810589329,0.004886186717835285,9347
< 4 m/s,UCASS 6,14.265342617687105,0.002018587183288344,9347
< 4 m/s,UCASS 6,18.743596239782804,0.001373472339730585,9347
< 4 m/s,UCASS 6,25.325038993059813,0.0,9347
< 4 m/s,TSI OPS 3330,0.3349626844888845,104.02249634103457,2363
< 4 m/s,TSI OPS 3330,0.417025179095939,23.323647411246938,2363
< 4 m/s,TSI OPS 3330,0.5188785985179963,7.398707447826346,2363
< 4 m/s,TSI OPS 3330,0.6461106716345119,2.608498262934158,2363
< 4 m/s,TSI OPS 3330,0.8041996020889342,1.4167251383003798,2363
< 4 m/s,TSI OPS 3330,1.0009740256370292,1.542233377678557,2363
< 4 m/s,TSI OPS 3330,1.246493882857032,0.848820077767837,2363
< 4 m/s,TSI OPS 3330,1.5521636511656882,1.0478037816511911,2363
< 4 m/s,TSI OPS 3330,1.9324057544936053,0.7476231997332847,2363
< 4 m/s,TSI OPS 3330,2.4060049875260026,0.4144693968382069,2363
< 4 m/s,TSI OPS 3330,2.9959898197423835,0.24993740955448143,2363
< 4 m/s,TSI OPS 3330,3.73008927507104,0.18032661157773855,2363
< 4 m/s,TSI OPS 3330,4.644080533324115,0.12606847210988356,2363
< 4 m/s,TSI OPS 3330,5.781788823538958,0.08887173938792035,2363
< 4 m/s,TSI OPS 3330,7.198224225460054,0.04859983513187472,2363
< 4 m/s,TSI OPS 3330,8.962142600963231,0.049307651188771645,2363
