Timestamp,UCASS2_counts,UCASS6_counts
2026-07-02 06:40:00,8,2
2026-07-02 06:50:00,14,7
2026-07-02 07:00:00,7,7
2026-07-02 07:10:00,13,7
2026-07-02 07:20:00,0,0
2026-07-02 07:30:00,2,3
2026-07-02 07:40:00,5,1
2026-07-02 07:50:00,11,2
2026-07-02 08:00:00,12,3
2026-07-02 08:10:00,2,4
2026-07-02 08:20:00,8,2
2026-07-02 08:30:00,18,16
2026-07-02 08:40:00,2,3
2026-07-02 08:50:00,17,4
2026-07-02 09:00:00,8,3
2026-07-02 09:10:00,13,6
2026-07-02 09:20:00,7,3
2026-07-02 09:30:00,4,6
2026-07-02 09:40:00,5,2
2026-07-02 09:50:00,22,9
2026-07-02 10:00:00,12,2
2026-07-02 10:10:00,7,6
2026-07-02 10:20:00,8,6
2026-07-02 10:30:00,6,2
2026-07-02 10:40:00,6,3
2026-07-02 10:50:00,4,6
