beaufort_force,description,speed_lower_ms,speed_upper_ms,count,frequency_pct
0,Calm,0.0,0.3,7090,5.391225001900996
1,Light air,0.3,1.6,61189,46.528020682837806
2,Light breeze,1.6,3.4,34894,26.533343471979318
3,Gentle breeze,3.4,5.5,20010,15.215572960231162
4,Moderate breeze,5.5,8.0,7634,5.804881758041214
5,Fresh breeze,8.0,10.8,686,0.5216333358679949
6,Strong breeze,10.8,13.9,7,0.005322789141510151
7,Near gale,13.9,17.2,0,0.0
8,Gale,17.2,20.8,0,0.0
9,Strong gale,20.8,24.5,0,0.0
10,Storm,24.5,28.5,0,0.0
11,Violent storm,28.5,32.7,0,0.0
12,Hurricane,32.7,,0,0.0
